Pressure(bar),Loading(mmol/g),,
0.1,0.010811967,,
0.5,0.059352181,,
0.9,0.104385811,,
1.3,0.148185643,,
1.7,0.198803832,,
2.1,0.252603922,,
2.5,0.295494639,,
2.9,0.340820485,,
3.3,0.375821388,,
3.7,0.439849014,,
4.1,0.479492895,,
4.5,0.539884064,,
4.9,0.581346173,,
5.3,0.622418661,,
5.7,0.677517486,,
6.1,0.709271552,,
6.5,0.757584487,,
6.9,0.814826225,,
7.3,0.854632447,,
7.7,0.913367729,,
8.1,0.967784718,,
8.5,0.999506316,,
8.9,1.049182922,,
9.3,1.127042075,,
9.7,1.160906585,,
10.1,1.197303628,,
