Pressure(bar),Loading(mmol/g),,
0.1,0.053378001,,
0.5,0.273870705,,
0.9,0.505175376,,
1.3,0.751415497,,
1.7,1.009246827,,
2.1,1.215843068,,
2.5,1.526987462,,
2.9,1.815696212,,
3.3,2.072683364,,
3.7,2.366100027,,
4.1,2.546461825,,
4.5,2.830137978,,
4.9,3.14728902,,
5.3,3.475674119,,
5.7,3.715063414,,
6.1,4.153613694,,
6.5,4.413165847,,
6.9,4.899639441,,
7.3,5.208283771,,
7.7,5.616833276,,
8.1,6.199283373,,
8.5,6.626015166,,
8.9,7.15274954,,
9.3,7.559480816,,
9.7,7.99335565,,
10.1,8.475705762,,
